
--- [START 2019-07-09_19-58-20] ----------------------------------------------------------------

	@train_customized_gnn.py:  
	set random seed
		SEED = 1562673500
	set cuda environment
		torch.__version__              = 1.1.0
		torch.version.cuda             = 10.0.130
		torch.backends.cudnn.version() = 7501
		os['CUDA_VISIBLE_DEVICES']     = 0
		torch.cuda.device_count()      = 1



	SEED         = 1562673500
	PROJECT_PATH = /home/alexpartisan/Work/Data/Competition/CHAMP/GNN/build
	__file__     = /home/alexpartisan/Work/Data/Competition/CHAMP/GNN/build/train_customized_gnn.py
	out_dir      = /home/alexpartisan/Work/Data/Competition/CHAMP/GNN/results/0710_1

** dataset setting **
batch_size = 16
train_dataset : 
	mode   = train
	split  = train_split_by_mol_0_56668.npy
	csv    = train
	len    = 56668

valid_dataset : 
	mode   = train
	split  = valid_split_by_mol_0_28335.npy
	csv    = train
	len    = 28335


** net setting **
	initial_checkpoint = None
<class '__main__.Net'>

optimizer
  Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
schduler
  NullScheduler
lr=0.00100 

** start training here! **
   batch_size =16,  iter_accum=1
                      |--------------- VALID ----------------------------------------------------------------|-- TRAIN/BATCH ---------
                      |std 18.3     4.5     3.1    10.9     3.7     1.3     4.0    3.7  |                    |        | 
rate     iter   epoch |    1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH |  loss  mae log_mae | loss   | time          
--------------------------------------------------------------------------------------------------------------------------------------
0.00000    0.0*   0.0 |  +4.553, +1.028, +1.318, +3.860, +1.208, +0.081, +2.357, +1.578 | +2.913 21.10 +2.00 | +0.000 |  0 hr 01 min
0.00100    0.5    0.1 |  +1.119, +0.300, +0.639, +1.147, +0.225, -0.173, +0.373, +0.816 | +0.646  1.91 +0.56 | +0.751 |  0 hr 02 min
0.00100    1.0    0.3 |  +1.048, +0.049, +0.482, +0.923, +0.003, -0.349, +0.371, +0.556 | +0.488  1.62 +0.39 | +0.569 |  0 hr 03 min
0.00100    1.5    0.4 |  +0.758, -0.070, +0.380, +0.845, -0.097, -0.407, +0.077, +0.442 | +0.323  1.38 +0.24 | +0.431 |  0 hr 05 min
0.00100    2.0    0.6 |  +0.941, -0.171, +0.296, +1.071, -0.243, -0.442, -0.130, +0.246 | +0.290  1.41 +0.20 | +0.342 |  0 hr 06 min
0.00100    2.5*   0.7 |  +0.650, -0.138, +0.227, +0.682, -0.247, -0.523, -0.163, +0.217 | +0.179  1.19 +0.09 | +0.241 |  0 hr 08 min
0.00100    3.0    0.8 |  +0.519, -0.228, +0.175, +0.640, -0.275, -0.550, -0.114, +0.043 | +0.093  1.10 +0.03 | +0.163 |  0 hr 09 min
0.00100    3.5    1.0 |  +0.458, -0.294, +0.149, +0.635, -0.390, -0.595, -0.402, -0.047 | +0.026  1.03 -0.06 | +0.125 |  0 hr 11 min
0.00100    4.0    1.1 |  +0.651, -0.232, +0.089, +0.648, -0.353, -0.618, -0.388, -0.099 | +0.062  1.07 -0.04 | +0.061 |  0 hr 12 min
0.00100    4.5    1.3 |  +0.476, -0.311, +0.073, +0.475, -0.445, -0.688, -0.352, -0.151 | -0.014  0.97 -0.12 | +0.040 |  0 hr 14 min
0.00100    5.0*   1.4 |  +0.404, -0.343, +0.028, +0.606, -0.503, -0.711, -0.474, -0.154 | -0.059  0.96 -0.14 | -0.016 |  0 hr 15 min
0.00100    5.5    1.6 |  +0.452, -0.345, +0.011, +0.453, -0.533, -0.753, -0.500, -0.221 | -0.067  0.92 -0.18 | -0.017 |  0 hr 17 min
0.00100    6.0    1.7 |  +0.331, -0.376, -0.022, +0.397, -0.547, -0.748, -0.496, -0.125 | -0.103  0.89 -0.20 | -0.032 |  0 hr 18 min
0.00100    6.5    1.8 |  +0.330, -0.404, -0.002, +0.411, -0.574, -0.761, -0.520, -0.219 | -0.115  0.87 -0.22 | -0.044 |  0 hr 19 min
0.00100    7.0    2.0 |  +0.397, -0.448, -0.062, +0.385, -0.623, -0.801, -0.433, -0.277 | -0.132  0.87 -0.23 | -0.101 |  0 hr 21 min
0.00100    7.5*   2.1 |  +0.410, -0.426, -0.027, +0.453, -0.505, -0.803, -0.593, -0.297 | -0.119  0.88 -0.22 | -0.110 |  0 hr 22 min
0.00100    8.0    2.3 |  +0.434, -0.460, -0.083, +0.411, -0.605, -0.811, -0.574, -0.299 | -0.140  0.86 -0.25 | -0.122 |  0 hr 24 min
0.00100    8.5    2.4 |  +0.322, -0.484, -0.069, +0.273, -0.633, -0.842, -0.623, -0.309 | -0.176  0.81 -0.30 | -0.133 |  0 hr 25 min
0.00100    9.0    2.5 |  +0.249, -0.473, -0.131, +0.268, -0.607, -0.796, -0.516, -0.321 | -0.209  0.80 -0.29 | -0.146 |  0 hr 27 min
0.00100    9.5    2.7 |  +0.257, -0.479, -0.104, +0.320, -0.655, -0.864, -0.581, -0.331 | -0.204  0.80 -0.30 | -0.193 |  0 hr 28 min
0.00100   10.0*   2.8 |  +0.231, -0.521, -0.112, +0.350, -0.673, -0.827, -0.642, -0.365 | -0.228  0.79 -0.32 | -0.182 |  0 hr 30 min
0.00100   10.5    3.0 |  +0.223, -0.536, -0.146, +0.218, -0.728, -0.874, -0.690, -0.400 | -0.255  0.75 -0.37 | -0.155 |  0 hr 31 min
0.00100   11.0    3.1 |  +0.244, -0.480, -0.164, +0.228, -0.689, -0.885, -0.660, -0.410 | -0.244  0.76 -0.35 | -0.179 |  0 hr 33 min
0.00100   11.5    3.2 |  +0.395, -0.528, -0.176, +0.318, -0.475, -0.885, -0.657, -0.316 | -0.202  0.82 -0.29 | -0.208 |  0 hr 34 min
0.00100   12.0    3.4 |  +0.229, -0.561, -0.180, +0.280, -0.755, -0.879, -0.687, -0.379 | -0.267  0.76 -0.37 | -0.251 |  0 hr 36 min
0.00100   12.5*   3.5 |  +0.387, -0.567, -0.193, +0.240, -0.766, -0.915, -0.632, -0.374 | -0.228  0.78 -0.35 | -0.238 |  0 hr 37 min
0.00100   13.0    3.7 |  +0.150, -0.535, -0.205, +0.181, -0.735, -0.896, -0.648, -0.362 | -0.288  0.73 -0.38 | -0.223 |  0 hr 38 min
0.00100   13.5    3.8 |  +0.125, -0.565, -0.224, +0.258, -0.758, -0.931, -0.681, -0.411 | -0.314  0.73 -0.40 | -0.236 |  0 hr 40 min
0.00100   14.0    4.0 |  +0.124, -0.598, -0.228, +0.227, -0.798, -0.942, -0.765, -0.484 | -0.336  0.71 -0.43 | -0.237 |  0 hr 41 min
0.00100   14.5    4.1 |  +0.205, -0.547, -0.226, +0.172, -0.683, -0.917, -0.677, -0.467 | -0.297  0.73 -0.39 | -0.287 |  0 hr 43 min
0.00100   15.0*   4.2 |  +0.183, -0.558, -0.202, +0.213, -0.779, -0.871, -0.744, -0.356 | -0.287  0.74 -0.39 | -0.312 |  0 hr 44 min
0.00100   15.5    4.4 |  +0.197, -0.574, -0.227, +0.143, -0.780, -0.938, -0.755, -0.429 | -0.307  0.71 -0.42 | -0.292 |  0 hr 46 min
0.00100   16.0    4.5 |  +0.162, -0.596, -0.252, +0.152, -0.789, -0.938, -0.738, -0.483 | -0.334  0.70 -0.44 | -0.270 |  0 hr 47 min
0.00100   16.5    4.7 |  +0.090, -0.606, -0.266, +0.124, -0.759, -0.958, -0.765, -0.479 | -0.360  0.68 -0.45 | -0.307 |  0 hr 49 min
0.00100   17.0    4.8 |  +0.068, -0.632, -0.272, +0.224, -0.760, -0.962, -0.760, -0.476 | -0.370  0.69 -0.45 | -0.330 |  0 hr 50 min
0.00100   17.5*   4.9 |  +0.110, -0.575, -0.247, +0.149, -0.747, -0.959, -0.732, -0.426 | -0.334  0.70 -0.43 | -0.335 |  0 hr 51 min
0.00100   18.0    5.1 |  +0.103, -0.652, -0.266, +0.122, -0.837, -0.974, -0.776, -0.489 | -0.369  0.68 -0.47 | -0.302 |  0 hr 53 min
0.00100   18.5    5.2 |  +0.036, -0.644, -0.292, +0.104, -0.798, -0.988, -0.757, -0.453 | -0.387  0.67 -0.47 | -0.354 |  0 hr 54 min
0.00100   19.0    5.4 |  +0.166, -0.630, -0.281, +0.188, -0.848, -0.970, -0.791, -0.523 | -0.358  0.69 -0.46 | -0.321 |  0 hr 56 min
0.00100   19.5    5.5 |  +0.073, -0.637, -0.283, +0.165, -0.790, -1.006, -0.798, -0.539 | -0.386  0.67 -0.48 | -0.376 |  0 hr 57 min
0.00100   20.0*   5.6 |  +0.136, -0.634, -0.308, +0.232, -0.765, -0.988, -0.763, -0.525 | -0.372  0.70 -0.45 | -0.334 |  0 hr 59 min
0.00100   20.5    5.8 |  +0.108, -0.670, -0.290, +0.147, -0.844, -0.948, -0.738, -0.537 | -0.382  0.68 -0.47 | -0.348 |  1 hr 00 min
